edge index,traverse frequency,avg traverse time(s),geometry,points sequence
5058,1,,"LINESTRING (-8.5835548 41.1724894, -8.582952 41.1723154, -8.582804 41.1722722)","[[-8.5835548, 41.1724894], [-8.582952, 41.1723154], [-8.582804, 41.1722722]]"
1190,1,,"LINESTRING (-8.582804 41.1722722, -8.5829526 41.1720634, -8.5829883 41.1718865, -8.582953 41.1717493, -8.5828221 41.1715734, -8.5826242 41.1714726, -8.5823612 41.1713979)","[[-8.582804, 41.1722722], [-8.5829526, 41.1720634], [-8.5829883, 41.1718865], [-8.582953, 41.1717493], [-8.5828221, 41.1715734], [-8.5826242, 41.1714726], [-8.5823612, 41.1713979]]"
1194,2,,"LINESTRING (-8.5823612 41.1713979, -8.582849 41.1704487, -8.5829102 41.1703658)","[[-8.5823612, 41.1713979], [-8.582849, 41.1704487], [-8.5829102, 41.1703658]]"
7820,4,22.5,"LINESTRING (-8.617925 41.1560535, -8.6179946 41.1559945, -8.6186902 41.1554976, -8.6187299 41.1554648, -8.6187727 41.1554228, -8.6187993 41.1553961, -8.6188198 41.1553624, -8.6188474 41.1553034, -8.6188807 41.1551988)","[[-8.617925, 41.1560535], [-8.6179946, 41.1559945], [-8.6186902, 41.1554976], [-8.6187299, 41.1554648], [-8.6187727, 41.1554228], [-8.6187993, 41.1553961], [-8.6188198, 41.1553624], [-8.6188474, 41.1553034], [-8.6188807, 41.1551988]]"
52,33,24.807692307692307,"LINESTRING (-8.6188807 41.1551988, -8.614016 41.1543025, -8.6133083 41.1541642)","[[-8.6188807, 41.1551988], [-8.614016, 41.1543025], [-8.6133083, 41.1541642]]"
54,39,20.32258064516129,"LINESTRING (-8.6133083 41.1541642, -8.6133246 41.1538652, -8.6133163 41.1538177, -8.6133019 41.1537926, -8.6132822 41.1537694, -8.6132505 41.1537434)","[[-8.6133083, 41.1541642], [-8.6133246, 41.1538652], [-8.6133163, 41.1538177], [-8.6133019, 41.1537926], [-8.6132822, 41.1537694], [-8.6132505, 41.1537434]]"
57,24,15.681818181818182,"LINESTRING (-8.6132505 41.1537434, -8.6131768 41.153739, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.6122168 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.6120253 41.1538357)","[[-8.6132505, 41.1537434], [-8.6131768, 41.153739], [-8.6130858, 41.1537499], [-8.6126871, 41.1537496], [-8.6126091, 41.1537496], [-8.6122168, 41.1537426], [-8.6121716, 41.1537482], [-8.6121269, 41.1537604], [-8.6121117, 41.1537666], [-8.6120991, 41.1537717], [-8.6120711, 41.153789], [-8.6120549, 41.1538039], [-8.6120253, 41.1538357]]"
5134,39,19.545454545454543,"LINESTRING (-8.6120253 41.1538357, -8.6120261 41.1540321, -8.6120272 41.1542922, -8.6120238 41.1544215, -8.6120216 41.154573, -8.6120117 41.1548721, -8.6120065 41.155031)","[[-8.6120253, 41.1538357], [-8.6120261, 41.1540321], [-8.6120272, 41.1542922], [-8.6120238, 41.1544215], [-8.6120216, 41.154573], [-8.6120117, 41.1548721], [-8.6120065, 41.155031]]"
7044,21,15.0,"LINESTRING (-8.6120065 41.155031, -8.6119892 41.155085, -8.6119666 41.155139, -8.6119399 41.1551879, -8.6119092 41.1552219)","[[-8.6120065, 41.155031], [-8.6119892, 41.155085], [-8.6119666, 41.155139], [-8.6119399, 41.1551879], [-8.6119092, 41.1552219]]"
10366,27,15.0,"LINESTRING (-8.6119092 41.1552219, -8.611899 41.1557432, -8.6118764 41.1566275)","[[-8.6119092, 41.1552219], [-8.611899, 41.1557432], [-8.6118764, 41.1566275]]"
740,12,15.0,"LINESTRING (-8.6118764 41.1566275, -8.6118854 41.1566667, -8.6119051 41.1567038, -8.6119302 41.1567298, -8.6119827 41.1567512, -8.6120352 41.1567665)","[[-8.6118764, 41.1566275], [-8.6118854, 41.1566667], [-8.6119051, 41.1567038], [-8.6119302, 41.1567298], [-8.6119827, 41.1567512], [-8.6120352, 41.1567665]]"
3343,12,15.0,"LINESTRING (-8.6120352 41.1567665, -8.6123288 41.1567715, -8.6125059 41.1567757)","[[-8.6120352, 41.1567665], [-8.6123288, 41.1567715], [-8.6125059, 41.1567757]]"
3340,12,15.0,"LINESTRING (-8.6125059 41.1567757, -8.6125435 41.156785, -8.612581 41.1567964, -8.6126107 41.1568196, -8.612635 41.1568427, -8.6126513 41.1568691, -8.6126622 41.1568974, -8.6126634 41.1569295, -8.6126591 41.1569616, -8.612641 41.1570407, -8.6125987 41.1571319)","[[-8.6125059, 41.1567757], [-8.6125435, 41.156785], [-8.612581, 41.1567964], [-8.6126107, 41.1568196], [-8.612635, 41.1568427], [-8.6126513, 41.1568691], [-8.6126622, 41.1568974], [-8.6126634, 41.1569295], [-8.6126591, 41.1569616], [-8.612641, 41.1570407], [-8.6125987, 41.1571319]]"
5690,11,15.0,"LINESTRING (-8.6125987 41.1571319, -8.6124677 41.1573534, -8.6123937 41.1574831, -8.6123658 41.1575443, -8.6123379 41.1576056)","[[-8.6125987, 41.1571319], [-8.6124677, 41.1573534], [-8.6123937, 41.1574831], [-8.6123658, 41.1575443], [-8.6123379, 41.1576056]]"
3342,11,15.0,"LINESTRING (-8.6123379 41.1576056, -8.6122691 41.1578408, -8.6122366 41.157973, -8.6122303 41.1580559)","[[-8.6123379, 41.1576056], [-8.6122691, 41.1578408], [-8.6122366, 41.157973], [-8.6122303, 41.1580559]]"
584,11,15.0,"LINESTRING (-8.6122303 41.1580559, -8.6122278 41.1581465, -8.6122218 41.1581576, -8.6120852 41.158661)","[[-8.6122303, 41.1580559], [-8.6122278, 41.1581465], [-8.6122218, 41.1581576], [-8.6120852, 41.158661]]"
3136,11,15.0,"LINESTRING (-8.6120852 41.158661, -8.6119806 41.1590331)","[[-8.6120852, 41.158661], [-8.6119806, 41.1590331]]"
5282,9,15.0,"LINESTRING (-8.6119806 41.1590331, -8.6118919 41.1595536)","[[-8.6119806, 41.1590331], [-8.6118919, 41.1595536]]"
5285,9,15.0,"LINESTRING (-8.6118919 41.1595536, -8.6118471 41.1597521, -8.6117873 41.160027, -8.6116926 41.16041, -8.6116304 41.1606953)","[[-8.6118919, 41.1595536], [-8.6118471, 41.1597521], [-8.6117873, 41.160027], [-8.6116926, 41.16041], [-8.6116304, 41.1606953]]"
880,10,18.0,"LINESTRING (-8.6116304 41.1606953, -8.6115023 41.1612778, -8.6114368 41.16156, -8.6114063 41.16163, -8.6113729 41.161721)","[[-8.6116304, 41.1606953], [-8.6115023, 41.1612778], [-8.6114368, 41.16156], [-8.6114063, 41.16163], [-8.6113729, 41.161721]]"
569,10,15.0,"LINESTRING (-8.6113729 41.161721, -8.6113257 41.161827, -8.6113169 41.1618663, -8.6111545 41.1626192, -8.6111351 41.1627093)","[[-8.6113729, 41.161721], [-8.6113257, 41.161827], [-8.6113169, 41.1618663], [-8.6111545, 41.1626192], [-8.6111351, 41.1627093]]"
440,22,15.0,"LINESTRING (-8.6111351 41.1627093, -8.6112484 41.1627237, -8.612181 41.1628418)","[[-8.6111351, 41.1627093], [-8.6112484, 41.1627237], [-8.612181, 41.1628418]]"
3171,21,15.0,"LINESTRING (-8.612181 41.1628418, -8.6126189 41.1628962)","[[-8.612181, 41.1628418], [-8.6126189, 41.1628962]]"
441,1,,"LINESTRING (-8.6126189 41.1628962, -8.6125032 41.1640933)","[[-8.6126189, 41.1628962], [-8.6125032, 41.1640933]]"
3269,1,,"LINESTRING (-8.6125032 41.1640933, -8.6139412 41.1641823)","[[-8.6125032, 41.1640933], [-8.6139412, 41.1641823]]"
483,10,58.333333333333336,"LINESTRING (-8.6235745 41.1442647, -8.6231598 41.1441377, -8.6225335 41.1439489, -8.6220438 41.1437713, -8.6216904 41.1436237, -8.6216294 41.1435982, -8.6213339 41.1434339, -8.6212837 41.1433979, -8.6209478 41.143157, -8.6203556 41.1425748, -8.6202318 41.1424899, -8.6200853 41.1423893, -8.6198235 41.1422183, -8.6188491 41.1415819, -8.6187144 41.1414968, -8.6183463 41.1413301, -8.6182629 41.1412923, -8.6174342 41.1409169)","[[-8.6235745, 41.1442647], [-8.6231598, 41.1441377], [-8.6225335, 41.1439489], [-8.6220438, 41.1437713], [-8.6216904, 41.1436237], [-8.6216294, 41.1435982], [-8.6213339, 41.1434339], [-8.6212837, 41.1433979], [-8.6209478, 41.143157], [-8.6203556, 41.1425748], [-8.6202318, 41.1424899], [-8.6200853, 41.1423893], [-8.6198235, 41.1422183], [-8.6188491, 41.1415819], [-8.6187144, 41.1414968], [-8.6183463, 41.1413301], [-8.6182629, 41.1412923], [-8.6174342, 41.1409169]]"
1061,15,47.5,"LINESTRING (-8.6174342 41.1409169, -8.6182629 41.1412923, -8.6183463 41.1413301, -8.6187144 41.1414968, -8.6188491 41.1415819, -8.6198235 41.1422183, -8.6200853 41.1423893, -8.6202318 41.1424899, -8.6203556 41.1425748, -8.6209478 41.143157, -8.6212837 41.1433979, -8.6213339 41.1434339, -8.6216294 41.1435982, -8.6216904 41.1436237, -8.6220438 41.1437713, -8.6225335 41.1439489, -8.6231598 41.1441377, -8.6235745 41.1442647)","[[-8.6174342, 41.1409169], [-8.6182629, 41.1412923], [-8.6183463, 41.1413301], [-8.6187144, 41.1414968], [-8.6188491, 41.1415819], [-8.6198235, 41.1422183], [-8.6200853, 41.1423893], [-8.6202318, 41.1424899], [-8.6203556, 41.1425748], [-8.6209478, 41.143157], [-8.6212837, 41.1433979], [-8.6213339, 41.1434339], [-8.6216294, 41.1435982], [-8.6216904, 41.1436237], [-8.6220438, 41.1437713], [-8.6225335, 41.1439489], [-8.6231598, 41.1441377], [-8.6235745, 41.1442647]]"
481,13,16.363636363636363,"LINESTRING (-8.6235745 41.1442647, -8.6243174 41.1444938, -8.6247666 41.1446324, -8.6250934 41.144735, -8.6254106 41.1447932, -8.6266799 41.1447604, -8.6267551 41.1447585)","[[-8.6235745, 41.1442647], [-8.6243174, 41.1444938], [-8.6247666, 41.1446324], [-8.6250934, 41.144735], [-8.6254106, 41.1447932], [-8.6266799, 41.1447604], [-8.6267551, 41.1447585]]"
238,9,24.375,"LINESTRING (-8.6267551 41.1447585, -8.6268987 41.1447278, -8.627037 41.1447131, -8.6271975 41.1446999, -8.6273413 41.144688, -8.6274999 41.1446775, -8.6276791 41.1446698, -8.6278804 41.1446649, -8.6280428 41.1446678, -8.6282135 41.1446783, -8.6284404 41.1446987, -8.6286688 41.1447307, -8.628864 41.1447635, -8.6290926 41.1448166, -8.6292898 41.1448676, -8.6294324 41.1449121, -8.6295694 41.1449608, -8.629633 41.1449846, -8.6297382 41.145024, -8.6299469 41.1451205, -8.6301362 41.1452162, -8.6303271 41.1453239, -8.6307201 41.145592, -8.6307923 41.1456411, -8.6314509 41.1461372)","[[-8.6267551, 41.1447585], [-8.6268987, 41.1447278], [-8.627037, 41.1447131], [-8.6271975, 41.1446999], [-8.6273413, 41.144688], [-8.6274999, 41.1446775], [-8.6276791, 41.1446698], [-8.6278804, 41.1446649], [-8.6280428, 41.1446678], [-8.6282135, 41.1446783], [-8.6284404, 41.1446987], [-8.6286688, 41.1447307], [-8.628864, 41.1447635], [-8.6290926, 41.1448166], [-8.6292898, 41.1448676], [-8.6294324, 41.1449121], [-8.6295694, 41.1449608], [-8.629633, 41.1449846], [-8.6297382, 41.145024], [-8.6299469, 41.1451205], [-8.6301362, 41.1452162], [-8.6303271, 41.1453239], [-8.6307201, 41.145592], [-8.6307923, 41.1456411], [-8.6314509, 41.1461372]]"
3416,9,15.0,"LINESTRING (-8.6314509 41.1461372, -8.6315556 41.1462038)","[[-8.6314509, 41.1461372], [-8.6315556, 41.1462038]]"
8462,9,15.0,"LINESTRING (-8.6315556 41.1462038, -8.6316434 41.1462596, -8.6318066 41.1463634)","[[-8.6315556, 41.1462038], [-8.6316434, 41.1462596], [-8.6318066, 41.1463634]]"
3415,13,16.363636363636363,"LINESTRING (-8.6318066 41.1463634, -8.6326775 41.1468428, -8.6328764 41.146954)","[[-8.6318066, 41.1463634], [-8.6326775, 41.1468428], [-8.6328764, 41.146954]]"
235,7,15.0,"LINESTRING (-8.6328764 41.146954, -8.6327796 41.1470617, -8.6327668 41.1470766, -8.6327023 41.1471513, -8.6326805 41.1471766)","[[-8.6328764, 41.146954], [-8.6327796, 41.1470617], [-8.6327668, 41.1470766], [-8.6327023, 41.1471513], [-8.6326805, 41.1471766]]"
3399,7,15.0,"LINESTRING (-8.6326805 41.1471766, -8.631553 41.1484527, -8.6314991 41.1485138)","[[-8.6326805, 41.1471766], [-8.631553, 41.1484527], [-8.6314991, 41.1485138]]"
5135,7,15.0,"LINESTRING (-8.6314991 41.1485138, -8.6310069 41.1490819, -8.6308723 41.1492373, -8.6307611 41.1493656, -8.6302954 41.1499033, -8.6299508 41.1503011, -8.6295157 41.1508085, -8.6294233 41.1509158, -8.6293113 41.1510435)","[[-8.6314991, 41.1485138], [-8.6310069, 41.1490819], [-8.6308723, 41.1492373], [-8.6307611, 41.1493656], [-8.6302954, 41.1499033], [-8.6299508, 41.1503011], [-8.6295157, 41.1508085], [-8.6294233, 41.1509158], [-8.6293113, 41.1510435]]"
1156,7,15.0,"LINESTRING (-8.6293113 41.1510435, -8.6291323 41.1512455, -8.6290736 41.1513117)","[[-8.6293113, 41.1510435], [-8.6291323, 41.1512455], [-8.6290736, 41.1513117]]"
2374,7,15.0,"LINESTRING (-8.6290736 41.1513117, -8.6289862 41.1514767)","[[-8.6290736, 41.1513117], [-8.6289862, 41.1514767]]"
1051,5,15.0,"LINESTRING (-8.6289862 41.1514767, -8.6289736 41.1515796, -8.6287691 41.1523766, -8.628743 41.1524782)","[[-8.6289862, 41.1514767], [-8.6289736, 41.1515796], [-8.6287691, 41.1523766], [-8.628743, 41.1524782]]"
709,29,18.88888888888889,"LINESTRING (-8.628743 41.1524782, -8.6289655 41.1524906, -8.6296472 41.1525286, -8.6301016 41.152554, -8.6304904 41.1525757, -8.6306176 41.1525836)","[[-8.628743, 41.1524782], [-8.6289655, 41.1524906], [-8.6296472, 41.1525286], [-8.6301016, 41.152554], [-8.6304904, 41.1525757], [-8.6306176, 41.1525836]]"
711,28,22.2,"LINESTRING (-8.6306176 41.1525836, -8.6308068 41.1525922, -8.6309917 41.1526006, -8.6313575 41.1526165)","[[-8.6306176, 41.1525836], [-8.6308068, 41.1525922], [-8.6309917, 41.1526006], [-8.6313575, 41.1526165]]"
7011,27,28.75,"LINESTRING (-8.6313575 41.1526165, -8.6314821 41.1526802, -8.6321685 41.1527301)","[[-8.6313575, 41.1526165], [-8.6314821, 41.1526802], [-8.6321685, 41.1527301]]"
5679,1,,"LINESTRING (-8.6321685 41.1527301, -8.6322295 41.1527961, -8.6322941 41.1528748)","[[-8.6321685, 41.1527301], [-8.6322295, 41.1527961], [-8.6322941, 41.1528748]]"
5681,6,15.0,"LINESTRING (-8.6322941 41.1528748, -8.6322538 41.1532697, -8.6321804 41.1534658, -8.6322 41.1536041)","[[-8.6322941, 41.1528748], [-8.6322538, 41.1532697], [-8.6321804, 41.1534658], [-8.6322, 41.1536041]]"
8235,4,15.0,"LINESTRING (-8.6322 41.1536041, -8.6321425 41.1536944, -8.6320578 41.1537974, -8.6319742 41.1538791, -8.6318622 41.1539742, -8.6318156 41.1540073)","[[-8.6322, 41.1536041], [-8.6321425, 41.1536944], [-8.6320578, 41.1537974], [-8.6319742, 41.1538791], [-8.6318622, 41.1539742], [-8.6318156, 41.1540073]]"
7804,2,15.0,"LINESTRING (-8.6318156 41.1540073, -8.6317376 41.1540676, -8.6313664 41.1543298, -8.6310274 41.1545682)","[[-8.6318156, 41.1540073], [-8.6317376, 41.1540676], [-8.6313664, 41.1543298], [-8.6310274, 41.1545682]]"
809,1,,"LINESTRING (-8.6310274 41.1545682, -8.6308755 41.1545311, -8.6307169 41.1544924)","[[-8.6310274, 41.1545682], [-8.6308755, 41.1545311], [-8.6307169, 41.1544924]]"
808,5,35.0,"LINESTRING (-8.6307169 41.1544924, -8.6306337 41.1534602)","[[-8.6307169, 41.1544924], [-8.6306337, 41.1534602]]"
835,46,29.375,"LINESTRING (-8.6049316 41.1440318, -8.6059717 41.1443794, -8.6061554 41.1444408, -8.6062026 41.1444566, -8.6069138 41.1446943, -8.6069191 41.1446962, -8.6069593 41.1447174, -8.6069942 41.1447406, -8.607024 41.1447631)","[[-8.6049316, 41.1440318], [-8.6059717, 41.1443794], [-8.6061554, 41.1444408], [-8.6062026, 41.1444566], [-8.6069138, 41.1446943], [-8.6069191, 41.1446962], [-8.6069593, 41.1447174], [-8.6069942, 41.1447406], [-8.607024, 41.1447631]]"
7712,27,27.75,"LINESTRING (-8.607024 41.1447631, -8.6070556 41.1449048, -8.6071284 41.1450105, -8.6073858 41.1453839, -8.607402 41.1454153, -8.6074139 41.1454385, -8.6074209 41.1454888, -8.6074102 41.1455332, -8.6073833 41.1455757, -8.6073321 41.1456374, -8.6072865 41.1456785)","[[-8.607024, 41.1447631], [-8.6070556, 41.1449048], [-8.6071284, 41.1450105], [-8.6073858, 41.1453839], [-8.607402, 41.1454153], [-8.6074139, 41.1454385], [-8.6074209, 41.1454888], [-8.6074102, 41.1455332], [-8.6073833, 41.1455757], [-8.6073321, 41.1456374], [-8.6072865, 41.1456785]]"
8475,25,18.571428571428573,"LINESTRING (-8.6072865 41.1456785, -8.6072666 41.1456965, -8.6070923 41.1458776, -8.6070666 41.1459121, -8.6070534 41.1459473, -8.6070494 41.1459887, -8.6070507 41.146019, -8.6070584 41.146066, -8.6070635 41.1460884, -8.6070831 41.1461152, -8.6071089 41.146163)","[[-8.6072865, 41.1456785], [-8.6072666, 41.1456965], [-8.6070923, 41.1458776], [-8.6070666, 41.1459121], [-8.6070534, 41.1459473], [-8.6070494, 41.1459887], [-8.6070507, 41.146019], [-8.6070584, 41.146066], [-8.6070635, 41.1460884], [-8.6070831, 41.1461152], [-8.6071089, 41.146163]]"
7710,25,37.142857142857146,"LINESTRING (-8.6071089 41.146163, -8.6071119 41.1461841, -8.6068342 41.1469494, -8.6068069 41.1470247)","[[-8.6071089, 41.146163], [-8.6071119, 41.1461841], [-8.6068342, 41.1469494], [-8.6068069, 41.1470247]]"
755,23,17.045454545454547,"LINESTRING (-8.6068069 41.1470247, -8.6068715 41.1470398, -8.6069096 41.1470471, -8.6079412 41.1472451, -8.6080497 41.1472658, -8.60811 41.1472781)","[[-8.6068069, 41.1470247], [-8.6068715, 41.1470398], [-8.6069096, 41.1470471], [-8.6079412, 41.1472451], [-8.6080497, 41.1472658], [-8.60811, 41.1472781]]"
3351,23,19.28571428571429,"LINESTRING (-8.60811 41.1472781, -8.6085586 41.1473734, -8.6086641 41.1473966)","[[-8.60811, 41.1472781], [-8.6085586, 41.1473734], [-8.6086641, 41.1473966]]"
940,63,25.982142857142858,"LINESTRING (-8.6086641 41.1473966, -8.6088112 41.1474292, -8.6092779 41.1475265, -8.6093531 41.1475418, -8.6094253 41.1475558, -8.6109422 41.1478426)","[[-8.6086641, 41.1473966], [-8.6088112, 41.1474292], [-8.6092779, 41.1475265], [-8.6093531, 41.1475418], [-8.6094253, 41.1475558], [-8.6109422, 41.1478426]]"
31,22,20.357142857142858,"LINESTRING (-8.6109422 41.1478426, -8.6109374 41.147861, -8.6108812 41.1480789, -8.6108186 41.1482966, -8.610699 41.1486454, -8.6106718 41.1487177, -8.6106307 41.148827, -8.6105476 41.1490134, -8.6104496 41.1491992)","[[-8.6109422, 41.1478426], [-8.6109374, 41.147861], [-8.6108812, 41.1480789], [-8.6108186, 41.1482966], [-8.610699, 41.1486454], [-8.6106718, 41.1487177], [-8.6106307, 41.148827], [-8.6105476, 41.1490134], [-8.6104496, 41.1491992]]"
92,23,15.833333333333334,"LINESTRING (-8.6104496 41.1491992, -8.610414 41.1492612, -8.6102387 41.1495666, -8.6102157 41.1496493, -8.6102062 41.1497297, -8.6102115 41.1498128, -8.610236 41.1499034, -8.6103431 41.1502996, -8.610351 41.1503452, -8.610337 41.1504258, -8.6103033 41.1505245, -8.6102434 41.150606)","[[-8.6104496, 41.1491992], [-8.610414, 41.1492612], [-8.6102387, 41.1495666], [-8.6102157, 41.1496493], [-8.6102062, 41.1497297], [-8.6102115, 41.1498128], [-8.610236, 41.1499034], [-8.6103431, 41.1502996], [-8.610351, 41.1503452], [-8.610337, 41.1504258], [-8.6103033, 41.1505245], [-8.6102434, 41.150606]]"
7797,25,18.0,"LINESTRING (-8.6102434 41.150606, -8.6101027 41.1507652, -8.6099839 41.1508997)","[[-8.6102434, 41.150606], [-8.6101027, 41.1507652], [-8.6099839, 41.1508997]]"
90,32,17.4,"LINESTRING (-8.6099839 41.1508997, -8.6099201 41.1509707, -8.6096217 41.1513031, -8.6095608 41.151371, -8.6095356 41.151399, -8.6095047 41.1514421, -8.6094979 41.1514773, -8.6095085 41.1515216, -8.6095342 41.1515651, -8.6096448 41.1516617)","[[-8.6099839, 41.1508997], [-8.6099201, 41.1509707], [-8.6096217, 41.1513031], [-8.6095608, 41.151371], [-8.6095356, 41.151399], [-8.6095047, 41.1514421], [-8.6094979, 41.1514773], [-8.6095085, 41.1515216], [-8.6095342, 41.1515651], [-8.6096448, 41.1516617]]"
3099,28,15.0,"LINESTRING (-8.6096448 41.1516617, -8.6097076 41.1517323, -8.6097991 41.1518212, -8.6098618 41.1518821, -8.6099156 41.1519343, -8.6099837 41.1520004, -8.6100429 41.1521134)","[[-8.6096448, 41.1516617], [-8.6097076, 41.1517323], [-8.6097991, 41.1518212], [-8.6098618, 41.1518821], [-8.6099156, 41.1519343], [-8.6099837, 41.1520004], [-8.6100429, 41.1521134]]"
3095,27,15.0,"LINESTRING (-8.6100429 41.1521134, -8.6100417 41.1522014, -8.6100128 41.153282)","[[-8.6100429, 41.1521134], [-8.6100417, 41.1522014], [-8.6100128, 41.153282]]"
3100,35,15.0,"LINESTRING (-8.6100128 41.153282, -8.6099591 41.1534482, -8.6099589 41.153504)","[[-8.6100128, 41.153282], [-8.6099591, 41.1534482], [-8.6099589, 41.153504]]"
3109,35,15.0,"LINESTRING (-8.6099589 41.153504, -8.6099552 41.1536187)","[[-8.6099589, 41.153504], [-8.6099552, 41.1536187]]"
3105,27,15.0,"LINESTRING (-8.6099552 41.1536187, -8.6099525 41.1537578, -8.6099472 41.1538757, -8.6099411 41.1539912)","[[-8.6099552, 41.1536187], [-8.6099525, 41.1537578], [-8.6099472, 41.1538757], [-8.6099411, 41.1539912]]"
